0.4278 -0.0019 0.434 0.3711 0.4009
0.4635 0.0095 0.4697 0.4034 0.4349
0.4992 0.0208 0.5055 0.4357 0.4689
0.5348 0.0322 0.5412 0.4683 0.5031
0.5705 0.0436 0.5769 0.5009 0.5372
0.6061 0.055 0.6126 0.5337 0.5715
0.6418 0.0664 0.6484 0.5665 0.6058
0.6774 0.0779 0.6841 0.5995 0.6401
0.7131 0.0893 0.7198 0.6325 0.6745
0.7487 0.1008 0.7555 0.6656 0.7089
0.7844 0.1123 0.7912 0.6988 0.7433
0.82 0.1238 0.8269 0.732 0.7778
0.8557 0.1353 0.8626 0.7653 0.8123
0.8914 0.1468 0.8983 0.7986 0.8468
0.927 0.1583 0.934 0.832 0.8813
0.9627 0.1698 0.9697 0.8655 0.9159
0.9983 0.1813 1.0053 0.8989 0.9505
1.034 0.1929 1.041 0.9325 0.9851
1.0696 0.2044 1.0767 0.966 1.0197
1.1053 0.216 1.1124 0.9996 1.0543
1.1409 0.2275 1.1481 1.0333 1.089
1.1766 0.2391 1.1838 1.067 1.1237
1.2122 0.2506 1.2195 1.1007 1.1584
1.2479 0.2622 1.2551 1.1344 1.1931
1.2835 0.2738 1.2908 1.1682 1.2278
1.3192 0.2854 1.3265 1.202 1.2626
1.3549 0.2969 1.3622 1.2358 1.2973
1.3905 0.3085 1.3979 1.2696 1.3321
1.4262 0.3201 1.4335 1.3035 1.3668
1.4618 0.3317 1.4692 1.3374 1.4016
1.4975 0.3433 1.5049 1.3713 1.4364
1.5331 0.3549 1.5406 1.4053 1.4712
1.5688 0.3665 1.5762 1.4392 1.506
1.6044 0.3781 1.6119 1.4732 1.5409
1.6401 0.3898 1.6476 1.5072 1.5757
1.6757 0.4014 1.6833 1.5412 1.6106
1.7114 0.413 1.7189 1.5752 1.6454
1.747 0.4246 1.7546 1.6093 1.6803
1.7827 0.4362 1.7903 1.6434 1.7151
1.8184 0.4479 1.826 1.6775 1.75
1.854 0.4595 1.8616 1.7116 1.7849
1.8897 0.4711 1.8973 1.7457 1.8198
1.9253 0.4828 1.933 1.7798 1.8547
1.961 0.4944 1.9686 1.814 1.8896
1.9966 0.506 2.0043 1.8481 1.9245
2.0323 0.5177 2.04 1.8823 1.9595
2.0679 0.5293 2.0757 1.9165 1.9944
2.1036 0.541 2.1113 1.9507 2.0293
2.1392 0.5526 2.147 1.9849 2.0643
2.1749 0.5643 2.1827 2.0191 2.0992
2.2105 0.5759 2.2183 2.0534 2.1342
2.2462 0.5876 2.254 2.0876 2.1691
2.2819 0.5992 2.2897 2.1219 2.2041
2.3175 0.6109 2.3253 2.1562 2.2391
2.3532 0.6225 2.361 2.1905 2.2741
2.3888 0.6342 2.3967 2.2247 2.309
2.4245 0.6459 2.4323 2.2591 2.344
2.4601 0.6575 2.468 2.2934 2.379
2.4958 0.6692 2.5037 2.3277 2.414
2.5314 0.6809 2.5393 2.362 2.449
2.5671 0.6925 2.575 2.3964 2.484
2.6027 0.7042 2.6107 2.4307 2.519
2.6384 0.7159 2.6463 2.4651 2.554
2.6741 0.7275 2.682 2.4995 2.5891
2.7097 0.7392 2.7177 2.5339 2.6241
2.7454 0.7509 2.7533 2.5682 2.6591
2.781 0.7626 2.789 2.6026 2.6941
2.8167 0.7742 2.8247 2.6371 2.7292
2.8523 0.7859 2.8603 2.6715 2.7642
2.888 0.7976 2.896 2.7059 2.7993
2.9236 0.8093 2.9317 2.7403 2.8343
2.9593 0.821 2.9673 2.7748 2.8694
2.9949 0.8327 3.003 2.8092 2.9044
3.0306 0.8443 3.0387 2.8437 2.9395
3.0662 0.856 3.0743 2.8781 2.9745
3.1019 0.8677 3.11 2.9126 3.0096
3.1376 0.8794 3.1457 2.9471 3.0447
3.1732 0.8911 3.1813 2.9816 3.0798
3.2089 0.9028 3.217 3.016 3.1148
3.2445 0.9145 3.2527 3.0505 3.1499
3.2802 0.9262 3.2883 3.085 3.185
3.3158 0.9379 3.324 3.1195 3.2201
3.3515 0.9496 3.3596 3.1541 3.2552
3.3871 0.9613 3.3953 3.1886 3.2903
3.4228 0.973 3.431 3.2231 3.3254
3.4584 0.9847 3.4666 3.2576 3.3605
3.4941 0.9964 3.5023 3.2922 3.3956
3.5297 1.0081 3.538 3.3267 3.4307
3.5654 1.0198 3.5736 3.3613 3.4658
3.6011 1.0315 3.6093 3.3958 3.5009
3.6367 1.0432 3.6449 3.4304 3.536
3.6724 1.0549 3.6806 3.465 3.5711
3.708 1.0666 3.7163 3.4995 3.6062
3.7437 1.0783 3.7519 3.5341 3.6413
3.7793 1.09 3.7876 3.5687 3.6765
3.815 1.1017 3.8233 3.6033 3.7116
3.8506 1.1134 3.8589 3.6379 3.7467
3.8863 1.1251 3.8946 3.6725 3.7818
3.9219 1.1368 3.9302 3.7071 3.817
3.9576 1.1486 3.9659 3.7417 3.8521
3.9932 1.1603 4.0016 3.7763 3.8873
4.0289 1.172 4.0372 3.8109 3.9224
4.0646 1.1837 4.0729 3.8455 3.9575
4.1002 1.1954 4.1086 3.8802 3.9927
4.1359 1.2071 4.1442 3.9148 4.0278
4.1715 1.2188 4.1799 3.9494 4.063
4.2072 1.2306 4.2155 3.9841 4.0981
4.2428 1.2423 4.2512 4.0187 4.1333
4.2785 1.254 4.2869 4.0534 4.1684
4.3141 1.2657 4.3225 4.088 4.2036
4.3498 1.2774 4.3582 4.1227 4.2387
4.3854 1.2892 4.3939 4.1573 4.2739
4.4211 1.3009 4.4295 4.192 4.3091
4.4568 1.3126 4.4652 4.2267 4.3442
