5 0.29932811437390594 4.240000000000001 0.08269977161916786 0.05765724702573857 -4.588139523585451 -0.04517721507778254
10 0.31627419152173125 5.650000000000001 0.19998123028991935 0.10463000271314568 -9.458136248151428 -0.08518720469987048
15 0.33314987594277035 6.550000000000001 0.31807451419665894 0.14354994191662415 -14.572537975064636 -0.12091621038978684
20 0.3499622880591354 7.210000000000001 0.4326469980634477 0.1773837690430521 -19.841629789603584 -0.15415633137938017
25 0.366717423686004 7.680000000000001 0.5326757977078529 0.20502989696734905 -25.503393616899373 -0.18310326487970252
30 0.38342038796144473 8.06 0.6269015987829275 0.22992160590846672 -31.207076697715117 -0.21067518708954497
35 0.40007557021138607 8.35 0.7088709039524336 0.2509551565749928 -37.343060902807586 -0.23527209864032944
40 0.41668677701237006 8.59 0.7840218305221832 0.269805277376119 -43.780598395132536 -0.25838921038014584
45 0.4332573350517742 8.78 0.8498639099884067 0.2861345623825716 -50.58969504747389 -0.27938369996777584
50 0.4497901717631952 8.94 0.9103377119424387 0.30100968141277895 -57.53381045972706 -0.2993395649720448
55 0.46628787933805793 9.07 0.963870106791234 0.31414248356481766 -64.86522809610369 -0.3177076377024669
60 0.482752766119161 9.17 1.0100005461134958 0.32558749883887145 -72.3928196044612 -0.33442868715264995
65 0.4991868982888886 9.27 1.0565712958433082 0.3369259971262143 -80.15919989938644 -0.35142761889873964
70 0.5155921340021228 9.35 1.0981883356827828 0.3472007576902119 -87.8404102471667 -0.3674673480356035
75 0.5319701515727373 9.41 1.1334648183432923 0.3560687580110677 -96.01311812880913 -0.38187717802129323
80 0.5483224729327112 9.46 1.1655532550972272 0.36421383071475 -104.43814480790662 -0.3955476520373843
85 0.5646504832981468 9.51 1.1967703799262754 0.3720024185952223 -113.50033031606176 -0.4088905837769952
90 0.5809554477658206 9.55 1.2260185564388264 0.3794976758350684 -121.85686597240355 -0.4221890713265074
95 0.5972385254061974 9.58 1.2505535911376338 0.385879979845739 -131.36786798170706 -0.43390070105618644
100 0.6135007812995257 9.6 1.271298368443205 0.39146388796830695 -141.4102183412681 -0.4445243006078734
105 0.6297431968704201 9.62 1.2927368150577048 0.3972377318681605 -150.78675734973476 -0.455709066797133
110 0.6459666788059745 9.64 1.3136373621987787 0.40282267276574213 -160.44415456758915 -0.46673594980381994
115 0.6621720667876784 9.65 1.3300159641589087 0.4074224809586575 -171.27010365981462 -0.4762002212822672
120 0.6783601402244406 9.67 1.3502616848817703 0.41276885316823975 -181.15249649737257 -0.48713608804253034
125 0.6945316241400425 9.67 1.3627727902720141 0.41659344115856706 -192.44059435226916 -0.49554251308325586
130 0.7106871943412885 9.68 1.3802759021219388 0.421508170182346 -201.3733278318652 -0.506162295643475
135 0.7268274819714206 9.68 1.3907293305836754 0.4247004344943323 -214.58786035797732 -0.5134910851335006
140 0.7429530775358709 9.68 1.4025721111649907 0.4283169786686001 -226.00406721829728 -0.5218403421088331
145 0.7590645344732048 9.68 1.4134718436146012 0.4316455351356437 -238.39353630798638 -0.5296759327995366
150 0.7751623723325192 9.68 1.4250463660979733 0.43518015874618443 -249.61923574482583 -0.5380864642741512
155 0.7912470796090377 9.68 1.4366898650066384 0.4387358463532539 -260.35603168431714 -0.5466755226242623
160 0.8073191162817924 9.67 1.4425655436679543 0.44098572280230064 -274.88350748790725 -0.5526064816587386
165 0.8233789160907711 9.67 1.4534443352447959 0.4443113198871519 -286.10432859205486 -0.5608870406758291
170 0.8394268885854973 9.66 1.4596462212998804 0.44666912045849305 -299.68554665000386 -0.56722881365176
175 0.8554634209724669 9.65 1.4664050787735967 0.44920242416949835 -312.0048562461636 -0.5740676761886663
180 0.8714888797850655 9.65 1.47498389015083 0.45183036301322427 -326.2275162197834 -0.5809804346445988
185 0.8875036123963792 9.64 1.4811189988080682 0.45418037804995426 -339.0252026858623 -0.5875438701169663
190 0.9035079483925921 9.63 1.4865769827022153 0.4563274199523832 -352.84158668384913 -0.5936792338045306
195 0.9195022008223592 9.62 1.4914121624913164 0.4582875476337336 -367.7025601946081 -0.5994109844118883
200 0.935486667335573 9.61 1.4963668684440867 0.4602885213981116 -382.01641928471946 -0.6053104503162594
205 0.9514616312232608 9.6 1.5017462365140617 0.46242442771909414 -394.9371722749463 -0.6116292487511418
210 0.9674273623689056 9.59 1.5058794424802415 0.4641806645390802 -410.54526406479744 -0.6170248467437316
215 0.9833841181202404 9.57 1.5068991148870468 0.46546570543779786 -426.27511522133204 -0.6214805703505019
220 0.9993321440894917 9.56 1.51094593821562 0.4672039240910814 -441.5548235433563 -0.6269305032139788
225 1.015271674889123 9.55 1.515076938463796 0.46897183883448845 -456.2203644728109 -0.6325210469826175
230 1.0312029348093192 9.54 1.5189900230903948 0.47067593632148197 -471.1068288608495 -0.6379991753117001
235 1.047126138442751 9.53 1.5221523945195974 0.4721507491741362 -487.9588990951441 -0.6428985923905484
240 1.0630414912615516 9.51 1.5227987419870053 0.4733446152701615 -503.15981265642546 -0.6473230024955748
245 1.078949190150895 9.5 1.5251196490396588 0.47456505963525353 -522.2854577043129 -0.6515899372418524
250 1.0948494239031028 9.49 1.5287970430948308 0.4762106131893099 -536.3047089817509 -0.6571177436060053
255 1.1107423736757869 9.48 1.5317874518216132 0.4776454210594488 -552.3228641830077 -0.6620964606589097
260 1.126628213417181 9.46 1.5315315799545914 0.47857528702053576 -569.328074177913 -0.6659158368422651
265 1.1425071102614834 9.45 1.5330837817267162 0.4795672634992383 -590.4253518661967 -0.6696699675907775
